continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
asia,doctorate,n,n,894,1851,west,170188.95,year,y,0
south america,master's,y,n,636,1977,south,1857.39,year,y,1
africa,bachelor's,y,n,255,2004,northeast,122859.37,year,y,1
asia,bachelor's,y,n,2311,2005,west,86901.23,year,n,1
north america,master's,n,n,781,1983,midwest,78096.9,year,n,1
asia,bachelor's,n,y,1543,1999,west,78402.72,year,y,0
asia,master's,y,n,3057,1995,south,22784.52,year,y,1
asia,master's,y,n,4670,2003,west,62656.12,year,y,1
asia,bachelor's,y,n,3277,1980,midwest,124439.76,year,y,1
north america,bachelor's,y,n,2114,1965,northeast,72354.96,year,y,1
asia,doctorate,n,y,2148,1986,south,43147.38,year,y,1
europe,bachelor's,n,n,3542,1963,northeast,248.6583,hour,y,1
asia,master's,y,n,112102,1852,south,235339.91,year,y,1
asia,bachelor's,y,n,412,1994,south,41696.75,year,y,1
north america,master's,n,n,60,1948,south,92071.0,year,n,1
asia,master's,n,n,922,1998,south,46080.75,year,y,1
north america,bachelor's,n,y,2999,2006,south,172504.71,year,y,1
asia,bachelor's,y,n,4258,2008,west,40926.81,year,y,1
asia,master's,y,n,3267,2001,south,95560.45,year,n,1
asia,bachelor's,n,n,3039,1994,midwest,115034.46,year,y,1
asia,bachelor's,n,n,546,1983,midwest,28280.53,year,y,1
asia,bachelor's,y,n,3433,2002,west,36979.16,year,y,1
asia,high school,y,n,1540,1947,northeast,10057.24,year,y,0
europe,doctorate,y,n,772,2007,south,71977.54,year,y,1
north america,master's,n,n,412,2010,west,27656.02,year,y,0
asia,bachelor's,y,y,758,1996,island,50293.83,year,y,1
asia,master's,n,n,1571,1996,west,143415.79,year,n,0
asia,master's,n,n,731,2007,northeast,37830.16,year,y,0
north america,high school,n,n,1419,1973,west,90094.22,year,y,0
asia,doctorate,n,n,1006,2009,south,23389.53,year,y,1
north america,doctorate,y,y,1458,1999,south,88698.51,year,y,1
north america,doctorate,y,n,467,1959,south,43697.94,year,y,1
europe,bachelor's,y,n,81849,1927,south,81724.72,year,y,1
asia,doctorate,y,n,1337,1988,northeast,89443.72,week,y,1
asia,high school,y,y,2933,2001,west,28237.13,year,y,0
africa,master's,y,n,3285,1989,northeast,165219.14,year,y,1
africa,master's,y,n,81762,1990,west,24496.71,year,y,1
north america,master's,y,n,4132,2003,south,67959.42,year,y,1
north america,doctorate,y,n,2691,2014,northeast,27471.41,year,y,1
asia,master's,y,n,3176,2003,west,132453.43,year,y,1
asia,bachelor's,n,n,3209,2001,northeast,137179.34,year,y,0
asia,master's,n,n,3267,2003,south,161738.67,year,y,1
asia,bachelor's,n,n,519,1998,island,78673.0,year,y,0
north america,master's,n,n,4762,2005,midwest,75960.46,year,y,1
north america,master's,y,n,1267,2010,west,33630.82,year,y,1
asia,master's,n,n,3697,2001,west,64422.65,year,y,0
asia,bachelor's,n,n,1126,2010,northeast,52988.17,year,y,0
asia,master's,n,n,1106,2000,west,521.0385,hour,y,0
asia,bachelor's,y,n,2089,2007,south,232680.65,year,y,1
south america,high school,y,n,16587,1994,west,102169.61,year,y,1
asia,master's,n,y,46,1948,west,92218.76,year,y,0
north america,master's,y,n,36353,1998,northeast,125925.71,year,n,1
north america,bachelor's,y,n,3514,2010,midwest,24197.92,year,y,1
asia,bachelor's,n,n,1110,1963,south,97931.99,month,y,1
asia,bachelor's,n,n,553,1979,south,61744.57,year,n,1
asia,master's,y,n,1245,2012,midwest,92549.52,year,n,1
asia,bachelor's,n,n,981,1984,northeast,23128.95,year,y,0
north america,master's,n,n,3244,2007,west,10793.45,year,y,0
europe,bachelor's,n,y,2557,1995,west,138190.15,year,y,1
europe,master's,n,n,1369,2010,south,43881.65,year,n,1
asia,master's,y,n,2822,1911,south,98263.2,year,y,1
europe,doctorate,n,n,3115,2006,northeast,25114.1,year,y,1
north america,bachelor's,y,n,211,2003,northeast,23945.38,year,y,1
asia,bachelor's,y,n,1446,2007,south,19311.82,year,y,1
asia,high school,y,y,936,1855,south,144869.09,year,y,1
africa,master's,y,n,4420,1984,west,63512.57,year,y,1
europe,high school,y,n,2670,2013,west,76452.7,year,y,0
asia,master's,y,n,2020,2000,south,795.4405,hour,y,1
asia,bachelor's,y,n,605,1994,south,66972.41,year,y,1
asia,bachelor's,y,y,2288,1975,south,256261.78,year,y,1
asia,master's,y,n,288,1997,south,85004.99,year,y,1
asia,master's,y,n,358352,2006,south,98124.95,year,y,1
asia,master's,y,n,2839,1930,midwest,13241.64,year,y,1
asia,bachelor's,n,n,2659,1989,northeast,572.8227,hour,n,0
asia,master's,y,n,4118,1997,west,19838.51,year,y,1
asia,bachelor's,y,n,3272,1922,midwest,95018.17,year,y,1
asia,master's,y,y,1178,1987,midwest,162988.12,year,y,1
asia,master's,n,n,59095,1998,island,131023.37,year,y,0
asia,doctorate,y,n,1378,2009,south,55076.16,year,y,1
asia,bachelor's,y,n,486,2005,south,82450.68,year,y,1
north america,bachelor's,y,n,180,1988,west,133468.58,year,y,1
north america,master's,n,n,1190,1996,south,786.5458,hour,y,1
asia,master's,y,n,1648,1940,northeast,59136.13,year,y,1
asia,bachelor's,y,n,2286,1878,west,105987.07,year,y,1
north america,high school,n,n,124,2009,west,252.43,hour,n,0
asia,master's,y,n,3238,1996,northeast,73896.5,year,y,1
europe,master's,n,n,30363,2006,west,26374.66,year,y,1
asia,master's,y,n,2889,1934,northeast,108888.49,year,y,1
north america,master's,y,n,2303,1988,midwest,128167.33,year,y,1
asia,master's,n,n,1876,1980,northeast,37688.62,year,y,0
asia,master's,n,n,241,1961,northeast,66092.25,year,y,0
europe,bachelor's,n,n,412,1997,west,34249.67,year,y,1
asia,high school,y,n,3348,1994,northeast,99671.66,year,y,0
asia,master's,y,n,2650,1989,south,52654.73,year,y,1
europe,bachelor's,y,y,1187,1968,west,104068.77,year,y,1
africa,master's,y,n,4506,1949,west,82793.8,month,y,1
africa,bachelor's,n,n,2437,2007,south,130636.68,year,y,1
asia,master's,n,n,3736,2001,northeast,90951.06,year,y,0
europe,master's,y,n,1826,1968,northeast,30531.03,year,y,1
asia,bachelor's,y,n,4824,1996,west,49122.07,year,y,1
asia,master's,n,n,364,2010,midwest,126935.9,year,n,1
asia,master's,n,n,1980,2006,northeast,79576.59,year,y,0
asia,bachelor's,y,n,8374,1864,northeast,206970.67,year,n,1
south america,master's,y,y,3198,2011,northeast,53077.88,year,y,1
asia,bachelor's,n,y,1235,2000,northeast,43231.47,year,y,0
asia,master's,n,n,4727,1834,northeast,7777.55,year,y,0
asia,doctorate,n,n,2956,2003,south,262189.0,year,n,1
north america,bachelor's,n,n,2360,1965,northeast,90881.96,year,y,0
north america,master's,y,n,1746,1984,west,119767.22,year,n,1
asia,master's,y,n,633,1985,west,53669.98,year,n,1
asia,master's,y,n,2774,1985,south,133170.7,year,n,1
asia,master's,y,n,1538,1962,west,314.6393,hour,y,1
asia,bachelor's,n,y,3696,1998,west,21853.74,year,y,0
asia,master's,n,n,4990,1976,northeast,117998.47,year,n,0
asia,master's,y,n,3130,2009,south,11404.58,year,y,1
asia,bachelor's,n,n,1056,2010,west,122141.55,year,y,0
asia,master's,y,n,496,1994,midwest,153372.73,year,y,1
europe,master's,n,n,3937,1991,northeast,103847.9,year,y,1
north america,bachelor's,n,n,3792,1992,west,82553.13,year,y,0
europe,doctorate,y,n,2165,2013,west,27790.82,year,y,1
asia,high school,y,n,2641,2007,south,97466.91,year,y,1
asia,bachelor's,y,n,1236,1911,midwest,57972.25,year,y,1
asia,bachelor's,y,n,2247,2003,northeast,130563.12,year,y,1
asia,high school,n,n,3085,1928,west,35504.93,week,y,0
asia,master's,y,n,4185,1993,midwest,109604.4,year,y,1
asia,bachelor's,y,n,1268,2001,south,7439.91,year,y,1
asia,high school,n,n,2122,2005,south,80604.66,year,n,1
asia,master's,y,n,673,2005,south,68564.85,year,y,1
asia,master's,y,n,1002,1989,west,25942.03,year,y,1
asia,master's,y,n,1726,1911,midwest,70445.67,year,y,1
asia,high school,y,n,4040,1994,midwest,60158.59,year,y,1
asia,master's,y,n,2721,1997,midwest,101026.39,year,y,1
north america,master's,y,n,645,1988,south,149452.3,year,y,1
asia,bachelor's,y,n,1743,1998,west,110382.9,year,y,1
north america,master's,y,n,1097,2005,northeast,44040.11,year,y,1
asia,master's,n,y,4393,2010,south,62328.16,year,y,1
north america,bachelor's,n,n,4668,1975,west,37049.34,year,y,0
asia,bachelor's,y,n,2188,1999,south,100524.28,year,y,1
north america,bachelor's,y,n,1105,1962,west,60561.95,year,y,1
asia,high school,n,y,940,2001,south,75815.39,year,y,1
asia,high school,n,n,1850,2009,northeast,71328.02,year,y,0
asia,master's,n,n,2213,1855,northeast,832.11,year,y,0
asia,master's,y,y,24,2007,northeast,125926.18,year,y,1
asia,bachelor's,y,n,304,2000,midwest,21428.58,year,y,1
north america,master's,n,n,1372,2011,midwest,748.0707,hour,y,1
asia,master's,y,n,2566,1801,northeast,32228.82,year,y,1
europe,bachelor's,n,n,86050,2007,south,152569.46,year,y,1
asia,master's,n,n,621,1997,west,12210.01,year,y,0
asia,high school,n,n,1643,1998,northeast,862.3799,hour,y,0
asia,master's,n,n,1110,2010,island,81285.88,year,y,0
north america,bachelor's,y,n,908,1997,island,29099.81,year,y,1
asia,bachelor's,y,n,2042,2006,midwest,111681.66,year,n,1
asia,master's,y,n,2266,2000,midwest,164341.96,year,y,1
south america,master's,y,n,26957,1917,northeast,149649.91,year,y,1
asia,doctorate,y,n,2467,1800,south,62487.14,year,y,1
asia,bachelor's,y,n,3712,2011,midwest,35194.51,year,y,1
north america,master's,y,n,1469,1981,south,27978.08,year,y,1
south america,high school,n,y,1003,2013,south,99013.02,year,y,1
asia,high school,y,n,3144,2012,northeast,14034.51,year,y,0
asia,master's,y,n,1989,1995,west,94398.97,year,y,1
asia,master's,n,n,1176,1969,northeast,39917.2,year,y,0
asia,doctorate,n,n,110,1983,midwest,70105.8,year,n,1
asia,bachelor's,n,n,2845,2004,south,671.4491,hour,y,1
north america,master's,y,n,2150,2010,south,137769.42,year,n,1
asia,bachelor's,y,y,643,1986,south,76138.64,year,y,1
asia,bachelor's,n,n,3712,1989,south,92324.91,year,y,1
asia,bachelor's,y,n,2715,1948,south,117587.26,year,y,1
asia,doctorate,y,n,944,1991,midwest,49684.23,year,y,1
asia,master's,y,n,3298,2005,south,47844.12,year,n,1
asia,doctorate,n,n,4915,2005,northeast,64000.8,year,n,0
asia,master's,y,n,5474,1861,northeast,47998.71,year,y,1
asia,high school,y,n,2652,1952,south,98429.38,year,y,1
asia,bachelor's,y,n,3960,1968,west,35911.81,year,y,1
africa,master's,y,n,3510,2005,northeast,200084.9,year,y,1
asia,master's,n,y,604,1966,south,132029.1,year,y,1
africa,master's,n,y,3256,2004,south,138622.73,year,y,1
asia,bachelor's,y,n,3899,1989,west,105274.65,year,y,1
asia,bachelor's,n,n,1610,1960,south,250510.67,year,y,1
europe,bachelor's,y,n,4746,1980,west,209993.78,year,y,0
europe,master's,n,n,869,2010,west,77912.67,year,y,1
europe,bachelor's,y,y,2658,2008,south,86235.96,year,y,1
europe,bachelor's,n,n,2626,1972,south,144090.19,year,y,1
asia,master's,y,n,1888,2003,midwest,147054.85,year,y,1
europe,doctorate,y,n,2128,2001,northeast,73503.72,year,y,1
europe,bachelor's,y,y,2188,2007,south,123316.75,year,y,1
asia,master's,y,y,8780,1846,south,81640.69,year,y,1
asia,doctorate,n,n,88484,2001,south,53999.52,year,y,1
asia,master's,y,n,1261,1975,northeast,28023.68,year,y,1
asia,master's,y,n,2158,2006,northeast,30393.57,year,n,1
asia,master's,n,n,834,1977,northeast,3.3188,hour,y,0
asia,bachelor's,y,n,1194,1998,south,105225.88,year,y,1
asia,master's,n,n,1566,1998,midwest,87165.0,year,y,1
europe,bachelor's,y,n,878,1966,midwest,58800.76,year,y,1
europe,bachelor's,y,n,213,2000,west,90643.93,year,y,1
asia,master's,y,n,1712,1873,northeast,84698.17,year,n,1
south america,bachelor's,n,y,3281,2000,west,153307.62,year,y,0
asia,bachelor's,n,n,2652,2006,northeast,94134.47,year,y,0
asia,bachelor's,y,n,53191,1977,midwest,81523.82,year,n,1
asia,bachelor's,n,n,3189,1838,west,165723.2,year,y,0
north america,bachelor's,n,n,162,1994,south,74880.65,year,y,1
asia,doctorate,y,n,3993,2004,midwest,51840.34,year,y,1
asia,master's,n,n,2953,2000,midwest,110427.57,year,y,1
asia,bachelor's,y,n,30650,1998,south,113374.51,year,y,1
asia,master's,y,n,3510,2005,midwest,134356.0,year,y,1
africa,bachelor's,n,n,3363,1983,south,21924.21,year,y,1
asia,high school,y,n,2377,2006,south,48191.18,year,y,1
asia,bachelor's,y,y,2016,1838,west,125014.69,year,y,1
north america,bachelor's,n,n,756,1988,south,146020.74,year,n,1
asia,master's,n,n,421,2010,west,35021.59,year,y,0
europe,high school,y,y,964,2004,south,111289.39,year,y,1
asia,master's,y,n,3647,1949,south,24055.39,year,y,1
north america,bachelor's,y,n,2477,1970,west,15506.4,week,y,1
north america,bachelor's,y,n,91879,2005,northeast,45029.5,year,n,0
asia,bachelor's,y,n,2432,1889,northeast,10837.15,year,y,1
asia,bachelor's,y,n,298,2008,west,98135.46,year,y,1
africa,doctorate,y,n,2563,1986,northeast,52672.96,year,y,1
asia,master's,n,n,1737,1956,west,118601.72,year,y,0
asia,bachelor's,n,n,1370,2000,south,72230.65,year,y,1
asia,bachelor's,y,n,56,1992,south,102237.74,year,y,1
europe,bachelor's,n,n,2440,1994,west,30409.94,year,y,1
north america,master's,n,n,93759,1983,midwest,74237.68,year,y,1
asia,high school,y,n,1433,1987,northeast,25467.02,year,y,0
asia,master's,y,n,2950,2009,south,849.455,hour,y,1
asia,bachelor's,y,n,5660,2000,northeast,64938.71,year,y,1
asia,bachelor's,y,n,992,1992,west,218554.78,year,y,1
asia,bachelor's,n,n,1574,2012,south,3080.38,year,y,1
asia,high school,y,n,3361,1993,west,212159.14,year,y,0
asia,master's,n,n,111654,2012,northeast,963.0685,hour,y,0
asia,master's,n,n,1318,1989,northeast,59665.28,year,y,0
asia,master's,n,n,3188,2012,south,256205.38,year,n,1
asia,bachelor's,y,n,3041,2004,south,116867.59,year,y,1
asia,bachelor's,n,n,987,1968,midwest,98467.88,year,y,1
europe,doctorate,y,n,3206,2013,west,20185.76,year,y,1
asia,bachelor's,y,n,413,2013,west,140154.91,year,y,1
asia,bachelor's,n,n,26126,1997,northeast,65393.27,year,y,0
europe,high school,y,y,3638,1974,midwest,142176.75,year,y,1
asia,high school,y,n,33345,1998,northeast,107882.31,year,y,0
asia,bachelor's,n,n,499,2007,west,35578.61,year,y,0
europe,bachelor's,n,n,1970,2004,northeast,104895.32,year,y,1
asia,bachelor's,n,n,1369,2003,midwest,31857.88,year,y,1
asia,bachelor's,n,n,1325,2006,northeast,3732.43,year,y,0
asia,master's,n,n,582,1971,south,92051.71,year,y,1
north america,bachelor's,y,n,2850,1991,south,101086.77,year,y,1
asia,bachelor's,n,n,677,1989,south,110050.54,year,y,1
asia,master's,y,n,107,2005,northeast,92835.68,year,y,1
asia,bachelor's,n,n,3875,1986,northeast,574.2465,hour,y,0
asia,master's,y,n,1736,2010,west,113043.16,year,y,1
asia,master's,n,y,2751,2004,south,148964.53,year,y,1
asia,master's,y,n,2486,1994,northeast,73401.21,year,y,1
north america,high school,y,n,1446,1988,northeast,62273.39,week,y,1
europe,bachelor's,n,n,5980,1986,northeast,106725.35,year,y,1
north america,master's,y,y,2963,1885,northeast,143188.4,year,y,1
africa,master's,y,n,2043,1961,west,53557.18,year,y,1
asia,master's,n,n,1929,2005,northeast,86368.98,year,y,0
asia,master's,y,n,463,1907,northeast,68182.63,year,y,1
asia,bachelor's,y,n,4709,1976,northeast,41180.84,year,y,1
asia,high school,y,n,1698,1975,west,51177.11,year,y,0
asia,doctorate,y,y,1130,1992,south,26097.45,year,y,1
asia,bachelor's,n,y,1082,2009,northeast,90711.57,year,y,0
north america,master's,y,n,1817,1988,northeast,27510.78,year,y,1
asia,master's,y,y,1531,1817,south,45530.11,year,y,1
asia,bachelor's,y,n,1223,1885,west,60065.95,year,y,1
north america,bachelor's,y,n,970,1986,west,80373.13,year,y,1
oceania,bachelor's,n,n,3227,1928,midwest,92422.74,year,y,1
europe,doctorate,n,n,298041,1963,south,37488.06,year,y,1
europe,bachelor's,y,n,1955,2004,west,31932.69,year,y,1
asia,bachelor's,n,y,2064,2008,northeast,128946.06,year,y,0
europe,doctorate,y,n,2050,1999,northeast,24439.18,year,y,1
asia,high school,n,n,416,1841,northeast,138.69,hour,y,0
asia,bachelor's,y,n,1975,1997,northeast,44233.52,year,y,1
asia,master's,n,n,5198,2009,south,101607.49,year,n,1
south america,high school,y,n,1280,1928,northeast,42704.0,year,y,1
north america,master's,y,n,4794,1994,west,126746.79,year,y,1
europe,bachelor's,n,n,53698,2000,midwest,153573.56,year,y,1
asia,master's,y,n,298,2011,midwest,140381.51,year,n,1
north america,bachelor's,y,n,1968,1988,midwest,113603.07,year,y,1
asia,master's,y,n,3815,1987,northeast,14742.8,year,y,1
north america,high school,n,n,2812,1977,northeast,54639.49,year,y,0
north america,doctorate,n,n,23885,2005,west,298.1357,hour,y,0
north america,master's,y,n,2886,1985,northeast,45318.93,year,y,1
north america,master's,n,n,3425,2003,south,62003.23,year,y,1
asia,bachelor's,n,y,704,2013,south,84801.63,year,y,1
asia,high school,n,n,660,2009,south,66781.76,year,n,1
asia,high school,y,y,4792,2008,west,17561.48,year,y,0
africa,bachelor's,y,n,1259,2001,northeast,25989.85,year,y,1
asia,bachelor's,y,n,2091,1948,west,60321.97,year,y,1
asia,high school,n,n,28279,1968,west,91822.75,year,n,0
asia,bachelor's,n,n,2377,1989,south,225.6413,hour,y,1
asia,doctorate,y,n,457,1987,south,22871.53,year,y,1
asia,doctorate,n,n,206,2001,west,382.2433,hour,y,0
africa,master's,y,n,1838,1990,midwest,112102.98,year,y,1
asia,master's,y,n,3358,2002,northeast,95310.74,year,y,1
asia,master's,y,n,3484,1821,west,61829.31,year,y,1
north america,bachelor's,y,n,1222,1997,northeast,851.4471,hour,y,0
asia,high school,n,y,819,2002,south,26055.3,year,y,1
south america,high school,y,n,1466,1998,west,163906.88,year,n,1
asia,high school,y,n,603,2010,south,45833.71,year,y,1
europe,doctorate,n,n,3393,2013,west,28534.67,year,y,1
europe,bachelor's,y,y,1154,2010,south,75796.85,year,y,1
north america,high school,y,n,4181,2002,west,724.0276,hour,y,1
asia,master's,y,n,620,1998,west,43425.93,year,y,1
asia,high school,y,n,3951,1973,midwest,698.9778,hour,y,1
europe,doctorate,y,y,1827,1973,west,21765.1,year,y,1
south america,bachelor's,y,n,84,2004,south,157465.74,year,y,1
asia,master's,n,n,1781,1971,south,630.2337,hour,y,1
asia,bachelor's,y,n,4633,2011,south,23969.45,year,y,1
asia,master's,n,n,1183,1926,west,111720.08,year,y,0
asia,bachelor's,y,y,1222,2009,west,102986.34,year,y,1
asia,bachelor's,n,n,3537,1998,midwest,88664.77,year,y,1
asia,bachelor's,y,n,2913,1953,northeast,101292.33,year,y,1
asia,high school,y,n,1911,2001,northeast,18251.1,year,y,0
asia,doctorate,n,y,2323,1979,south,108690.79,year,y,1
asia,master's,n,n,536,2001,west,88468.41,year,y,0
europe,doctorate,y,n,1583,2004,west,170788.78,year,y,1
europe,high school,y,y,1426,1989,west,69984.79,year,y,0
europe,master's,n,y,598,2006,northeast,68640.89,year,y,1
asia,master's,y,n,895,1956,northeast,129255.91,year,y,1
north america,bachelor's,y,n,1551,2012,island,81707.96,year,y,1
asia,bachelor's,y,n,3537,2007,west,60937.35,year,y,1
asia,bachelor's,y,n,1393,1991,south,135441.47,year,y,1
asia,master's,y,y,1787,2006,west,65500.19,year,y,1
asia,doctorate,y,n,1251,1999,northeast,108235.72,year,y,1
asia,bachelor's,y,n,1573,2008,west,31190.56,year,y,1
asia,master's,y,n,1654,1888,west,36600.66,year,y,1
europe,high school,n,n,3615,2012,west,141020.04,year,y,0
europe,master's,n,y,2122,2009,south,155605.02,year,y,1
north america,bachelor's,y,n,2098,2011,midwest,62446.69,year,y,1
asia,bachelor's,n,n,1996,2001,midwest,9939.67,year,y,1
europe,master's,y,n,555,1968,west,9693.06,year,y,1
asia,bachelor's,n,n,93018,2009,west,18332.25,year,y,0
asia,bachelor's,y,n,2614,1959,south,77487.08,year,y,1
asia,master's,y,n,3107,2009,midwest,50417.78,year,y,1
asia,doctorate,y,n,1316,1996,midwest,76900.05,year,y,1
south america,master's,y,n,2483,2008,midwest,40475.41,year,y,1
asia,master's,y,n,1113,1968,northeast,46457.53,year,y,1
asia,bachelor's,n,n,3656,1971,south,491.9991,hour,y,1
europe,master's,y,n,2569,2008,west,38962.34,year,y,1
europe,bachelor's,y,n,4879,1998,northeast,35244.7,year,y,1
asia,master's,y,n,2367,1978,midwest,72479.76,year,n,1
africa,master's,y,n,1145,1999,midwest,13324.91,year,n,1
europe,high school,y,n,1522,1982,northeast,438.855,hour,y,0
asia,master's,y,n,4403,1988,midwest,33645.75,year,y,1
north america,doctorate,n,n,412,2005,south,39848.78,year,n,1
asia,bachelor's,n,y,21915,2012,south,47773.5,year,y,1
asia,master's,n,n,2546,1977,northeast,868.2749,hour,n,0
asia,bachelor's,n,n,974,1846,south,14125.36,year,y,1
asia,high school,y,n,1229,2005,northeast,143921.58,year,y,0
north america,bachelor's,y,n,2808,1962,northeast,17773.53,year,y,1
asia,master's,y,n,4005,2008,northeast,87966.47,year,y,1
europe,master's,y,n,531,1953,south,20314.14,year,y,1
asia,master's,n,n,1536,2007,midwest,22667.46,year,n,1
